日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
8/31,軟體設計工程師(四組),康和綜合證券股份有限公司,高雄市新興區中正三路55號17樓,待遇面議,"康和證券近年積極布局金融科技與創新，專注下列特色，歡迎有志同仁一同加入。1. 擁抱金融創新2. 自製核心系統3. 導入新型技術 (eg. container, k8s, elk, grafana...)主要專案:高速證券交易行情系統高速證券交易下單系統採用新技術與架構達成:客戶端跨語言、跨平台伺服端高併發、高可用、可水平擴展歡迎喜歡挑戰，對系統開發，金融交易有興趣的夥伴一同聊聊職務內容:- 前後端程式設計與開發- 程式維護與除錯    ",高雄市新興區,經歷不拘,大學,上市上櫃,7o8fd,www.104.com.tw/job/7o8fd?jobsource=jolist_b_relevance
9/02,Backend Engineer後端工程師,第一通用科技有限公司,台南市南區安平工業區新愛路6號,180~200,【工作內容】1. 使用JavaScript 、H5、C++、UE5、 unity、Python程式語開發系統後端程式 2. 系統功能開發、測試、維護3. web API開發、維護4.調用Odoo等類開源二次開發服務.Andriod/,台南市南區,5年以上,學歷不拘,員工92人,83575,www.104.com.tw/job/83575?jobsource=jolist_b_relevance
8/31,軟體工程師,中揚光電股份有限公司,台中市南屯區工業區二十二路21號,"35,000",你熱愛軟體工程嗎？我們正在找尋熱衷於程式語言開發、軟體設計等的軟體工程師加入我們的團隊！如果你對於這些領域充滿熱情，即便沒有經驗，只要想要挑戰自己，我們都歡迎你的加入。工作內容：1.根據專案需求使用程式語言進行開發設計。2.參與軟體介面設計和開發，打造直覺且易用的介面。3.負責程式設計和系統開發，建立高效且可擴展的軟體系統。4.探索最新的技術趨勢，進行先進技術研究。.根據主管指示完成相關工作。,台中市南屯區,經歷不拘,專科,員工300人,7klez,www.104.com.tw/job/7klez?jobsource=jolist_b_relevance
8/29,軟體類--Data Scientist Engineer (高雄),華邦電子股份有限公司,高雄市路竹區路科五路35號,待遇面議,【邀請您將104履歷同步上傳至華邦官方網站，將使您的履歷優先被主管看見】投遞網址:https://bit.ly/3QZd1v41. R2R 製程控制開發維運2. FDC 機台監控與分析應用3. 資料科學與機器學習專案開發4. 建立及維護 MLOps/DevOps 相關系統,高雄市路竹區,經歷不拘,碩士,上市上櫃,83ibt,www.104.com.tw/job/83ibt?jobsource=jolist_b_relevance
9/05,演算工程助理,穎利科研國際事業有限公司,台中市西區台灣大道二段2號9樓之3,"27,000",徵求 有高度學習意願、有Python等程式語言基本編程技能的「演算工程助理」！ChatGPT引發革命性開發熱潮及廣泛應用，讓各行各業有了加速升級的契機！「學會操作AI」更成為現代職場的必要顯學！穎利科研公司是擅長應用生成式AI協作的軟體開,台中市西區,經歷不拘,專科,員工8人,75gob,www.104.com.tw/job/75gob?jobsource=jolist_b_relevance
9/05,中區資訊室程式設計師（工作地點：台中慈院）,佛教慈濟醫療財團法人,台中市潭子區豐興路一段66號,"30,000",◆ 中區資訊室程式設計師（工作地點：台中慈院）　1.大學(含)以上，資訊或醫療資訊相關科系畢業。　2.工作經驗不拘，有資訊相關產業背景尤佳。　3.具資料庫、演算法知識及資訊技能：ASP.NET、Java、PHP、Python、,台中市潭子區,經歷不拘,大學,,7t8kv,www.104.com.tw/job/7t8kv?jobsource=jolist_b_relevance
9/04,專案組系統整合暨研發工程師,采易資訊系統股份有限公司,台中市西屯區黎明路二段895之一號,"35,000",(必要).熟Java(必要)以下為優選:6.熟Python7.熟Vmware、網路、Hyper-v..等系統(優先錄取選項)8.熟Perl.Rest API各種不同系統介接需求(優先錄取選項)9.熟MySQL.MS-SQL資料庫管理,台中市西屯區,經歷不拘,專科,員工25人,7htg6,www.104.com.tw/job/7htg6?jobsource=jolist_b_relevance
9/05,人工智慧系統開發工程師,馬森科技股份有限公司,台中市南屯區大墩五街306號,"54,000",1.協助加工之分析、轉化為所需邏輯與演算法。2.規劃執行演算架構及程式設計。3.進行實際製程測試與修改演算。4.規劃、執行與維護演算法品質。.協助研發軟體部分功能與新技術。,台中市南屯區,3年以上,大學,員工28人,77cxg,www.104.com.tw/job/77cxg?jobsource=jolist_b_relevance
9/01,【擴編徵才】系統維運工程師(需輪班),聯訊網路有限公司,台中市西區(依照公司規定分派),"50,000","1. 負責第一線障礙排除、問題處理與通報，需配合公司輪班(約一至兩個月換一次班別)2. 負責伺服器系統與網路的日常管理和維護，以確保健康,最大化系統可用性和服務品質3. 紀錄報修事件、處理、追蹤以及回報處理狀況。4. 執行、整理和更新工作相關SOP文件。.排休制(依照當月紅字天數計算)6.另有輪班津貼(另給，不算在洽談薪資內)，中班5000/月，夜班10000/月(不足月照天數算)7.須能接受輪班，無法配合請勿投遞8.無相關經驗請勿投遞",台中市西區,1年以上,大學,,75xnj,www.104.com.tw/job/75xnj?jobsource=jolist_b_relevance
9/05,後端工程師【代徵】,天河國際法律事務所,高雄市前鎮區,"40,000",此職務任職於數位資訊公司，主營判決檢索系統，上班地點為高雄市前鎮區中山二路(近大遠百)。1. 公司現有後端平台日常維護、效能維護及開發。2. 優化後端程式功能設計，資料處理及應用。3. 熟悉Python等程式語言。4. 熟悉,高雄市前鎮區,1年以上,專科,,7xojm,www.104.com.tw/job/7xojm?jobsource=jolist_b_relevance
9/01,軟體工程師(台南),友聲電子有限公司,台南市北區長榮路4段31巷30-4號5樓,待遇面議,1. 負責軟體之分析、設計以及程式撰寫。2. 規劃執行軟體架構及模組之設計，並控管軟體設計進度。3. 進行軟體之測試與修改。4. 規劃、執行與維護量產的產品。. 協助研發軟體新技術與新工具。6. 管控軟體開發成本。7.微處理機I/O C語言程式撰寫8.PC影像處理 C語言程式撰寫9.其它軟韌體相關技術工作,台南市北區,2年以上,專科,員工30人,7x9rt,www.104.com.tw/job/7x9rt?jobsource=jolist_b_relevance
8/31,軟體工程師,源昇整合方案智財股份有限公司,台中市西屯區河南路一段170號5樓-3,"50,000",PHP、PYTHON ，熟悉資料庫、AWS,台中市西屯區,經歷不拘,高中,員工30人,7eju1,www.104.com.tw/job/7eju1?jobsource=jolist_b_relevance
9/05,電控韌體工程師,車王電子股份有限公司,台中市大雅區中清路4段85號,待遇面議,1.電動工具控制，依工具功能撰寫程式2.BLDC馬達驅動控制與研究 3.MCU功能評估與驗證,台中市大雅區,經歷不拘,專科,上市上櫃,6fdvl,www.104.com.tw/job/6fdvl?jobsource=jolist_b_relevance
9/07,AI演算法工程師,大立光電股份有限公司,台中市南屯區精科路11號,待遇面議,1. 機器視覺暨AI演算法開發實作2. AI演算法的設計和應用,台中市南屯區,經歷不拘,碩士,上市上櫃,6b5x2,www.104.com.tw/job/6b5x2?jobsource=jolist_d_relevance
9/06,後端工程師,虹承科技有限公司,高雄市鼓山區大順一路439號8樓之二,"40,000",• 3年或以上系統/軟體開發經驗。• .net core(C#)、JAVA、C++ 熟其中之一。• 必須對MySQL或其他SQL Server 開發有經驗。• 有docker、k8s、jenkins、nginx-proxy-manger、fluentd、promethus、grafana、clickhouse等工具使用經驗為優先考量。• 對Git版本控制  開發經驗尤佳。•從開發者角度提出想法，並具備獨立作戰的能力。•注重細節及使用流程，能從使用者角度思考。• 邏輯能力強，能快速學習並運用新技術。,高雄市鼓山區,經歷不拘,大學,員工16人,7fn1w,www.104.com.tw/job/7fn1w?jobsource=jolist_d_relevance
9/07,軟體工程師_(高雄_工程部),捷思環能股份有限公司,高雄市前鎮區復興四路12號3樓之6(高雄軟體科技園區),"35,000",1.高雄微型感測器警報系統維護及相關開發。2.工程部小型專案前端程式設計及後端資料庫維護。,高雄市前鎮區,經歷不拘,大學,員工85人,74v1f,www.104.com.tw/job/74v1f?jobsource=jolist_d_relevance
9/05,AOI影像演算法工程師,宇隆科技股份有限公司,台中市梧棲區經二路59號,待遇面議,1.AOI系統模組開發2.AOI視覺影像設計3.AOI演算法程式編撰4.AOI優化降低誤判率 . AOI設備維護 6. 程式測試 7. 諳C++、Python,台中市梧棲區,1年以上,大學,員工1700人,74q0r,www.104.com.tw/job/74q0r?jobsource=jolist_d_relevance
