日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
9/06,後端軟體工程師(汐止),欣技資訊股份有限公司,新北市汐止區大同路三段196-3號5樓(世界經貿大樓C棟),待遇面議,職務說明:1.	後端系統開發與維護2.	自動化測試相關程式開發與維護3.	資料庫維護4.	軟體設計文件撰寫.	完成主管交辦事宜基本條件:熟悉C++、C#、Python或Java程式語言中的任意一種即可,新北市汐止區,經歷不拘,大學,上市上櫃,6ryhn,www.104.com.tw/job/6ryhn?jobsource=jolist_c_relevance
8/31,軟體研發工程師 (影像處理),Cino Group_偉斯股份有限公司,新北市汐止區新台五路一段100號18樓B棟（東方科學園區，鄰宏碁總部）,"40,000",1. 依照要求以影像處理為基礎的演算法開發。		2. 優化既有影像處理演算法。3. 閱讀論文並實驗實作算法			,新北市汐止區,經歷不拘,大學,,5p0dz,www.104.com.tw/job/5p0dz?jobsource=jolist_c_relevance
9/04,Junior Software Engineer 初級軟體工程師(台北總公司),山富國際旅行社股份有限公司,台北市中山區南京東路二段85號4樓(自強大樓),"40,000",1. 參與設計網頁後端架構2. 進行網頁後端以及API開發3. 撰寫技術文件4. 主要工作語言: Python,台北市中山區,1年以上,大學,員工500人,6yzou,www.104.com.tw/job/6yzou?jobsource=jolist_c_relevance
9/07,Senior QA Engineer (Auto Testing),聯齊科技股份有限公司,台北市南港區南港路三段47巷8號8樓,"40,000","【Core Responsibilities】In this automation testing team, we use python and/or other languages to achieve several goals of",台北市南港區,3年以上,專科,員工120人,6y4an,www.104.com.tw/job/6y4an?jobsource=jolist_c_relevance
9/07,助理工程師,詮源資訊股份有限公司,新北市板橋區文化路一段145號7樓之2,"30,000","1.對撰寫程式開發有高度興趣，自認邏輯清楚。2.理工科系畢業，無程式開發經驗可。3. 熟悉至少一項程式語言: Java, Python, C++4. 喜歡學習新技術，並且樂於接受挑戰",新北市板橋區,經歷不拘,專科,距捷運板橋站約220公尺,79zrr,www.104.com.tw/job/79zrr?jobsource=jolist_c_relevance
9/05,後端軟體工程師 Back-End Software Engineer,肚肚股份有限公司,高雄市前鎮區成功二路25號12樓,待遇面議,"含但不限於PHP Laravel,Node.js以及Python FastAPI。- 熟悉SQL並了解如何使用資料庫及基本效能調校, 包含但不限於MySQL或PostgreSQL。- 具Git版本控制經驗。- 具良好溝通能力及團隊合作能力。",高雄市前鎮區,經歷不拘,大學,,7jnue,www.104.com.tw/job/7jnue?jobsource=jolist_c_relevance
9/04,Retirement Consulting Actuarial Analyst,美世顧問股份有限公司,台北市中山區民權東路三段2號4樓,待遇面議, Python or other programming language a plus.•	Strong written and verbal presentation skills in English and Mandarin. ,台北市中山區,經歷不拘,大學,員工60人,80x7f,www.104.com.tw/job/80x7f?jobsource=jolist_c_relevance
9/07,數據分析執行顧問,菁英雲教育科技股份有限公司,台北市中正區漢口街一段45號6樓,"10,000",提供專業引導，還需要您實際參與並執行這些架構設計。期待您具有以下條件： 1.優秀的數據分析技能，並熟悉統計。2.需要花點時間對英語教育領域有深入的理解，並能將數據分析應用到教育的實際情境中。3.具有使用相關數據分析工具（如Python、R,台北市中正區,經歷不拘,大學,員工500人,8067p,www.104.com.tw/job/8067p?jobsource=jolist_c_relevance
9/04,Software Engineer in Camera,博彥科技有限公司,台北市大安區忠孝東路四段285號5樓,待遇面議, with Windows and PC architecture •	Understanding and have experience of C#/Python/Powershell/C/C++ is plus. ,台北市大安區,1年以上,大學,員工10000人,7mof7,www.104.com.tw/job/7mof7?jobsource=jolist_c_relevance
9/04,財務數據自動化工程師,烽泰科技有限公司,台北市大同區南京西路捷運中山站六號出口共構大樓,待遇面議,悉SQL資料庫應用。• 程式撰寫能力，如Python。• 熟悉Excel函數 (含巨集、VBA...等)。• 細⼼、積極主動、有良好的團隊合作精神。• 舉⼀反三反應能力佳、良好的邏輯思維。• 具資訊收集與報表處理相關經驗 。• 英文,台北市大同區,1年以上,大學,員工140人,82vds,www.104.com.tw/job/82vds?jobsource=jolist_c_relevance
9/06,軟體工程師,常珵科技股份有限公司,新北市樹林區博愛街236號1樓,待遇面議,1.  Embedded Linux程式設計。 2. Switch/Router產品應用設計驗證及除錯。,新北市樹林區,經歷不拘,大學,上市上櫃,7qvtn,www.104.com.tw/job/7qvtn?jobsource=jolist_c_relevance
8/14,軟體系統工程師,艾知科技股份有限公司,台北市內湖區新湖三路288號ＥＦ,"500,000",Arduino、C#、JavaScript、python、SQL,台北市內湖區,經歷不拘,大學,,7q038,www.104.com.tw/job/7q038?jobsource=jolist_c_relevance
8/17,全端工程師,興創知能股份有限公司,台北市中正區思源街18號3F,"55,000",HTML5等Web前端開發技術，並熟悉任一前端框架(我們使用Vue.js/Quasar)。3. 熟悉任一後端開發語言(我們使用Python/Flask/Fastapi)，並熟悉任一資料庫SQL語法(我們使用PostgreSQL)，並能依需求建立後,台北市中正區,經歷不拘,大學,員工28人,6gyzz,www.104.com.tw/job/6gyzz?jobsource=jolist_c_relevance
9/07,【風險諮詢】營運數據分析與資料視覺化顧問－高雄所、台北所,勤業眾信聯合會計師事務所,高雄市前鎮區成功二路88號3樓,待遇面議,1.	訪談了解企業企業營運風險數據分析需求，實作及佈署數據分析與機器學習模型。2.	運用數據分析、機器學習技術協助客戶偵測、預測企業營運風險。3.	使用工具將數據分析結果進行可視化的設計與儀表板建置。4.	協助數據分析、機器學習與視覺化工具專案開發、導入與維護。,高雄市前鎮區,經歷不拘,大學,員工3900人,7kkk2,www.104.com.tw/job/7kkk2?jobsource=jolist_c_relevance
