日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
9/05,MIS硬體及網路管理工程師,億豐綜合工業股份有限公司,台中市西屯區市政北七路98號23樓之1,待遇面議,"1. 機房、伺服器、各項網路設備、系統之設定、管理、維護 2. 辦公室所使用之各項電子、資訊設備之設定、管理、維護 3. 網路電話管理與維護4. 防毒系統、監控系統之建置維護、問題排除. 伺服器軟硬體管理與維護(AD網域帳號權限控管、Exchange server email、VM Ware ESXi、CISCO Switch、Fortigate、HP & DELL Server、Storage System)6. 網路通訊傳輸與設備(個人電腦, 電話, 視訊系統, 印表機, 門禁系統)問題分析與解決 7. 集團國際VPN、專線之設定、管理、維護",台中市西屯區,2年以上,大學,上市上櫃,79d0b,www.104.com.tw/job/79d0b?jobsource=jolist_d_relevance
9/05,SDET自動化測試工程師(Software Development Engineer in Test),微程式資訊股份有限公司,台中市西屯區市政路402號7樓,待遇面議, Review。4. (加分)熟悉 Python、Javascript 或其他任一程式語言 。. (加分)熟悉 Container Service (例如 Docker、K8s）。6. (加分)熟悉 CI/CD。7. (加分)熟悉 AWS/GCP。,台中市西屯區,經歷不拘,大學,員工210人,821up,www.104.com.tw/job/821up?jobsource=jolist_d_relevance
9/07,IoT工程師,環隆科技股份有限公司,台中市南屯區工業區二十七路2號,"38,000",Linux、OpenWrt架構下的程式開發。IoT物聯網終端韌體開發。Web系統前後端的開發和維護，物聯網(IoT)應用平台開發。生產測試PC端程式開發。進行開發項目文檔的編寫與整理。解決項目開發中的技術難題。協助產品規劃，設計，開發，維護物聯網軟體。,台中市南屯區,3年以上,專科,上市上櫃,7fpda,www.104.com.tw/job/7fpda?jobsource=jolist_d_relevance
9/07,【台中】QA軟體測試工程師,一騰資訊服務股份有限公司,台中市烏日區,待遇面議,     熟悉一種程式語言(Python/Java尤佳)。4.     網站的壓力測試或負載測試經驗，並且使用過相關測試工具。【在這裡你可以】● 參與銀行系統專案，踏入金融產業的好跳板，獲得更多銀行微服務業務邏輯的經驗● 學習微服務架構，使,台中市烏日區,2年以上,專科,員工60人,7y62d,www.104.com.tw/job/7y62d?jobsource=jolist_b_relevance
9/01,後端工程師 Backend Engineer,台灣聯繫科技有限公司,台中市西屯區臺灣大道二段747號2樓,"50,000",【工作內容】• 負責後端服務的開發、設計和維護，確保系統穩定運行和功能持續改進。• 撰寫易維護、高可讀性的程式碼，並參與團隊的 Code Review。• 提供後端專業和 PM、同仁討論新功能開發方向，並評估可行性。• 與其他技術團隊進行積極的溝通與協作，討論技術方案、解決問題。,台中市西屯區,2年以上,大學,遠端工作,7anuj,www.104.com.tw/job/7anuj?jobsource=jolist_b_relevance
9/05,視覺及人工智慧產品經理,寶元數控股份有限公司,台中市西屯區台灣大道二段633號6樓,待遇面議,1. 視覺及人工智慧相關產品開發。(包含影像處理、AI Model之專案開發及工具程式撰寫)2. 與各產品部門之溝通協調。3. 彙整及編寫相關產品文件。4. 協助業務行銷、推廣產品。. 協助技術人員及客戶解決產品問題。,台中市西屯區,1年以上,大學,員工300人,6s44w,www.104.com.tw/job/6s44w?jobsource=jolist_b_relevance
8/30,物聯網/前端_系統整合工程師,川弘科技有限公司,台中市大里區中興路一段159號3樓,"38,000",【基本能力需求】熟悉一種以上主流前端框架：如Angular、React、Vue...等熟悉以下語言：JavaScript / CSS / HTML熟悉前/後端通訊的API熟悉工業通訊協議，包括Modbus(TCP/UDP)、OPC UA、BACNet【工作內容】團隊協作開發，協助專案執行和製作專案文件負責軟體的分析、UI設計和程式撰寫善於分析和解決問題，並提出解決方案【具以下能力尤佳】有使用 ESP32、Raspberry Pi、Arduino 的使用經驗具備桌面應用程式開發經驗：如Windows Forms / Qt / Electron...等具備網頁設計、切版、UI/UX經驗具備電路設計和識圖能力具備實務經驗，熟悉能源管理、中央監控、機電空調等系統工程,台中市大里區,經歷不拘,大學,,82iuk,www.104.com.tw/job/82iuk?jobsource=jolist_b_relevance
9/01,AOI AI軟體開發工程師(工作地點:台中),Advantech_研華股份有限公司,台中市南屯區,待遇面議,●工作內容AOI/AI自動光學檢測設備光機系統之設計及整合應用 AOI/AI自動光學檢測設備控制、資料處理、影像處理及演算法相關軟體之開發經驗AOI/AI自動光學檢測設備設計開發文件撰寫●工作技能C#/C++/Python/ 程式,台中市南屯區,1年以上,大學,上市上櫃,7yus1,www.104.com.tw/job/7yus1?jobsource=jolist_b_relevance
9/07,【資料庫技術處】資料分析師,網銀國際股份有限公司,台中市西屯區市政北二路238號28樓之1,待遇面議,● 善用分析工具建構數據分析環境。● 具同產業/金融業開發經驗尤佳。【工作技能】 ● 數據分析語言：Python、R、SQL等。● 數據處理及分析工具：Pandas、NumPy、SciPy、Matplotlib、Seaborn等。● 資,台中市西屯區,2年以上,大學,員工650人,7z5hi,www.104.com.tw/job/7z5hi?jobsource=jolist_b_relevance
9/04,RTOS/ Embedded Linux 全端工程師 - 台中,系微股份有限公司,台中市南區忠明南路760號34樓,待遇面議,"負責研發下列相關領域軟韌體1. Develop RTOS/Embedded Linux related device WebUI(HTML/HTML5/CSS/JS/Vue/…), CGI, protocols or applications.2. Develop BMC/IPMI/WEB (Server Management) related firmware or software. 3. Open source integration.",台中市南區,經歷不拘,大學,上市上櫃,7j1ly,www.104.com.tw/job/7j1ly?jobsource=jolist_b_relevance
9/07,"【台中辦公室】資深全端工程師 (.NET, C#, PHP, Web)",歌倫比亞美語顧問_康仕坦實業股份有限公司,台中市南區忠明南路758號42樓,"900,000","，並在其中扮演關鍵角色．掌握並使用現代前端和後端技術，如React、Angular、Vue、C#, PHP, Python、Java、Node.js等．學習和應用Cloud Tech (e.g. GCP, AWS, Azure) 最佳實踐來構建",台中市南區,3年以上,專科,員工100人,81snv,www.104.com.tw/job/81snv?jobsource=jolist_b_relevance
